reference_designator,name,min_depth,max_depth
GP05MOAS-GL537,Open Ocean Glider 537,0,1000
GP05MOAS-PG514,Profiling Glider 514,0,200
GP05MOAS-PG515,Profiling Glider 515,0,200
GP05MOAS-PG575,Profiling Glider 575,0,200
GP05MOAS-PG576,Profiling Glider 576,0,200
GS01SUMO-RID16,Near Surface Instrument Frame,12,12
GS01SUMO-RII11,Mooring Riser,20,1500
GS01SUMO-SBC11,Surface Buoy,0,0
GS01SUMO-SBD11,Surface Buoy,0,0
GS01SUMO-SBD12,Surface Buoy,0,0
GS02HYPM-MPM01,Mooring Riser,150,150
GS02HYPM-RIM01,Mooring Riser,164,4634
GS02HYPM-WFP02,Wire-Following Profiler Upper,310,2373
GS02HYPM-WFP03,Wire-Following Profiler Lower,2100,4623
GS03FLMA-RIM01,Mooring Riser,30,1510
GS03FLMA-RIS01,Mooring Riser,30,30
GS03FLMB-RIM01,Mooring Riser,30,1510
GS03FLMB-RIS01,Mooring Riser,30,30
GS05MOAS-GL484,Open Ocean Glider 484,,
GS05MOAS-GL485,Open Ocean Glider 485,,
GS05MOAS-GL486,Open Ocean Glider 486,0,1000
GS05MOAS-GL524,Open Ocean Glider 524,,
GS05MOAS-GL560,Open Ocean Glider 560,,
GS05MOAS-GL561,Open Ocean Glider 561,,
GS05MOAS-PG565,Profiling Glider 565,0,200
GS05MOAS-PG566,Profiling Glider 566,0,200
RS01SBPD-DP01A,Wire-Following Profiler (DP01A),200,2905
RS01SBPD-PD01A,Profiler Docking Station (PD01A),2905,2905
RS01SBPS-PC01A,200m Platform (PC01A),200,200
RS01SBPS-SC01A,Winch Controller (SC01A),200,200
RS01SBPS-SF01A,Shallow Profiler (SF01A),5,200
RS01SHDR-PN01B,Primary Node (PN01B),2908,2908
RS01SLBS-LJ01A,Low-Power JBox (LJ01A),2905,2905
RS01SLBS-LV01A,Low-Voltage Node (LV01A),,
RS01SLBS-MJ01A,Medium-Power JBox (MJ01A),2906,2906
RS01SLBS-PN01A,Primary Node (PN01A),2908,2908
RS01SUM1-LJ01B,Low-Power JBox (LJ01B),779,779
RS01SUM1-LV01B,Low-Voltage Node (LV01B),779,779
RS01SUM2-MJ01B,Medium-Power JBox (MJ01B),811,811
RS03ASHS-MJ03B,Medium-Power JBox (MJ03B),1552,1552
RS03ASHS-PN03B,Primary Node (PN03B),1552,1552
RS03AXBS-LJ03A,Low-Power JBox (LJ03A),2594,2594
RS03AXBS-MJ03A,Medium-Power JBox (MJ03A),2642,2642
RS03AXBS-PN03A,Primary Node (PN03A),2609,2609
RS03AXPD-DP03A,Wire-Following Profiler (DP03A),150,2465
RS03AXPD-PD03A,Profiler Docking Station (PD03A),2465,2465
RS03AXPS-LV03A,Low-Voltage Node (LV03A),2594,2594
RS03AXPS-PC03A,200m Platform (PC03A),200,200
RS03AXPS-SC03A,Winch Controller (SC03A),200,200
RS03AXPS-SF03A,Shallow Profiler (SF03A),5,200
RS03CCAL-MJ03F,Medium-Power JBox (MJ03F),1526,1526
RS03ECAL-MJ03E,Medium-Power JBox (MJ03E),1516,1516
RS03INT1-MJ03C,Medium-Power JBox (MJ03C),1520,1520
RS03INT2-MJ03D,Medium-Power JBox (MJ03D),1527,1527
RS05MDPL-PN05A,Primary Node (PN05A),,
RS05MPPI-PN05A,Primary Node (PN05A),2820,2820
SSRSPACC-F10NA,Force 10 Network Switch North A,0,0
SSRSPACC-F10NB,Force 10 Network Switch North B,0,0
SSRSPACC-F10SA,Force 10 Network Switch South A,0,0
SSRSPACC-F10SB,Force 10 Network Switch South B,0,0
SSRSPACC-OTNNA,Optical Transport Network North A,0,0
SSRSPACC-OTNNB,Optical Transport Network North B,0,0
SSRSPACC-OTNSA,Optical Transport Network South A,0,0
SSRSPACC-OTNSB,Optical Transport Network South B,0,0
SSRSPACC-PFE00,Power Feed Equipment,0,0
SSRSPACC-TS00N,Time Server North,0,0
SSRSPACC-TS00S,Time Server South,0,0
SSRSPACC-UPS0A,UPS-A,0,0
SSRSPACC-UPS0B,UPS-B,0,0
